	gene_short_name
TEAD1	TEAD1
TEAD2	TEAD2
TEAD3	TEAD3
TEAD4	TEAD4
TEC	TEC
TECPR2	TECPR2
TEF	TEF
TEK	TEK
TELO2	TELO2
TENC1	TENC1
TERF2	TERF2
TERT	TERT
TET1	TET1
TET2	TET2
TET3	TET3
TF	TF
TFAP2A	TFAP2A
TFAP2C	TFAP2C
TFDP1	TFDP1
TFDP2	TFDP2
TFF1	TFF1
TFRC	TFRC
TG	TG
TGFA	TGFA
TGFB1	TGFB1
TGFB1I1	TGFB1I1
TGFB2	TGFB2
TGFB3	TGFB3
TGFBI	TGFBI
TGFBR1	TGFBR1
TGFBR2	TGFBR2
TGFBR3	TGFBR3
TGFBRAP1	TGFBRAP1
TGIF1	TGIF1
TGM2	TGM2
TGS1	TGS1
TH	TH
THAP11	THAP11
THBD	THBD
THBS1	THBS1
THBS2	THBS2
THBS3	THBS3
THPO	THPO
THY1	THY1
TICAM1	TICAM1
TICAM2	TICAM2
TIE1	TIE1
TIFA	TIFA
TIMELESS	TIMELESS
TIMM10	TIMM10
TIMM17A	TIMM17A
TIMM17B	TIMM17B
TIMM22	TIMM22
TIMM23	TIMM23
TIMM44	TIMM44
TIMM50	TIMM50
TIMM8A	TIMM8A
TIMM8B	TIMM8B
TIMM9	TIMM9
TIMP1	TIMP1
TIMP2	TIMP2
TIMP3	TIMP3
TIMP4	TIMP4
TIPARP	TIPARP
TIRAP	TIRAP
TJP1	TJP1
TJP2	TJP2
TK1	TK1
TKT	TKT
TLE1	TLE1
TLN1	TLN1
TLR1	TLR1
TLR10	TLR10
TLR2	TLR2
TLR3	TLR3
TLR4	TLR4
TLR5	TLR5
TLR6	TLR6
TLR7	TLR7
TLR8	TLR8
TLR9	TLR9
TLX1	TLX1
TLX3	TLX3
TMC7	TMC7
TMEFF1	TMEFF1
TMEM115	TMEM115
TMEM132D	TMEM132D
TMEM184B	TMEM184B
TMEM189	TMEM189
TMEM2	TMEM2
TMEM30B	TMEM30B
TMEM42	TMEM42
TMEM64	TMEM64
TMEM66	TMEM66
TMLHE	TMLHE
TMPRSS2	TMPRSS2
TMTC1	TMTC1
TNC	TNC
TNF	TNF
TNFAIP2	TNFAIP2
TNFAIP3	TNFAIP3
TNFRSF10A	TNFRSF10A
TNFRSF10B	TNFRSF10B
TNFRSF10C	TNFRSF10C
TNFRSF10D	TNFRSF10D
TNFRSF11A	TNFRSF11A
TNFRSF11B	TNFRSF11B
TNFRSF12A	TNFRSF12A
TNFRSF13C	TNFRSF13C
TNFRSF14	TNFRSF14
TNFRSF17	TNFRSF17
TNFRSF18	TNFRSF18
TNFRSF19	TNFRSF19
TNFRSF1A	TNFRSF1A
TNFRSF1B	TNFRSF1B
TNFRSF21	TNFRSF21
TNFRSF25	TNFRSF25
TNFRSF6B	TNFRSF6B
TNFRSF8	TNFRSF8
TNFRSF9	TNFRSF9
TNFSF10	TNFSF10
TNFSF11	TNFSF11
TNFSF12	TNFSF12
TNFSF13	TNFSF13
TNFSF13B	TNFSF13B
TNFSF14	TNFSF14
TNFSF15	TNFSF15
TNFSF4	TNFSF4
TNFSF8	TNFSF8
TNFSF9	TNFSF9
TNIK	TNIK
TNK1	TNK1
TNK2	TNK2
TNNT1	TNNT1
TOLLIP	TOLLIP
TOM1L2	TOM1L2
TOMM20	TOMM20
TOMM22	TOMM22
TOMM34	TOMM34
TOMM40	TOMM40
TOMM40L	TOMM40L
TOMM70A	TOMM70A
TOP1	TOP1
TOR1A	TOR1A
TP53	TP53
TP53AIP1	TP53AIP1
TP53BP1	TP53BP1
TP53BP2	TP53BP2
TP53I3	TP53I3
TP53RK	TP53RK
TP63	TP63
TP73	TP73
TPD52	TPD52
TPH2	TPH2
TPI1	TPI1
TPO	TPO
TPTE	TPTE
TRADD	TRADD
TRAF1	TRAF1
TRAF2	TRAF2
TRAF3	TRAF3
TRAF3IP3	TRAF3IP3
TRAF6	TRAF6
TRIB1	TRIB1
TRIB3	TRIB3
TRIM15	TRIM15
TRIM21	TRIM21
TRIM25	TRIM25
TRIM27	TRIM27
TRIM28	TRIM28
TRIM5	TRIM5
TRIM58	TRIM58
TRPM1	TRPM1
TRPM3	TRPM3
TRPM6	TRPM6
TSC1	TSC1
TSC2	TSC2
TSC22D1	TSC22D1
TSC22D3	TSC22D3
TSHR	TSHR
TSHZ1	TSHZ1
TSHZ2	TSHZ2
TSHZ3	TSHZ3
TSPAN33	TSPAN33
TSPO	TSPO
TSSK4	TSSK4
TTC9	TTC9
TTN	TTN
TTYH1	TTYH1
TUBB2A	TUBB2A
TUBB2B	TUBB2B
TUBB3	TUBB3
TWIST1	TWIST1
TXK	TXK
TXN	TXN
TXNIP	TXNIP
TXNRD1	TXNRD1
TXNRD2	TXNRD2
TYK2	TYK2
TYMP	TYMP
TYMS	TYMS
TYR	TYR
TYRO3	TYRO3
TYRP1	TYRP1
UBA1	UBA1
UBA2	UBA2
UBA3	UBA3
UBA5	UBA5
UBA6	UBA6
UBASH3B	UBASH3B
UBD	UBD
UBE2A	UBE2A
UBE2B	UBE2B
UBE2C	UBE2C
UBE2D1	UBE2D1
UBE2D2	UBE2D2
UBE2D3	UBE2D3
UBE2E1	UBE2E1
UBE2E2	UBE2E2
UBE2E3	UBE2E3
UBE2G1	UBE2G1
UBE2G2	UBE2G2
UBE2H	UBE2H
UBE2I	UBE2I
UBE2J1	UBE2J1
UBE2J2	UBE2J2
UBE2K	UBE2K
UBE2L3	UBE2L3
UBE2M	UBE2M
UBE2N	UBE2N
UBE2Q1	UBE2Q1
UBE2R2	UBE2R2
UBE2S	UBE2S
UBE2T	UBE2T
UBE2W	UBE2W
UBE2Z	UBE2Z
UBE4B	UBE4B
UBR1	UBR1
UBR2	UBR2
UBXN4	UBXN4
UCP1	UCP1
UCP2	UCP2
UCP3	UCP3
UFD1L	UFD1L
UGGT1	UGGT1
UGGT2	UGGT2
UGP2	UGP2
UHRF1	UHRF1
ULK1	ULK1
ULK2	ULK2
UNC5D	UNC5D
UQCR11	UQCR11
UQCRC1	UQCRC1
UQCRC2	UQCRC2
UQCRFS1	UQCRFS1
UQCRH	UQCRH
UQCRQ	UQCRQ
URM1	URM1
USF1	USF1
USF2	USF2
USP11	USP11
USP14	USP14
USP16	USP16
USP2	USP2
USP21	USP21
USP22	USP22
USP3	USP3
USP7	USP7
UTF1	UTF1
UXT	UXT
VANGL2	VANGL2
VAPA	VAPA
VARS2	VARS2
VASP	VASP
VAX1	VAX1
VAX2	VAX2
VCAM1	VCAM1
VCAN	VCAN
VCL	VCL
VCP	VCP
VDAC1	VDAC1
VDR	VDR
VEGFA	VEGFA
VEGFB	VEGFB
VEGFC	VEGFC
VHL	VHL
VIM	VIM
VIP	VIP
VIPR1	VIPR1
VSNL1	VSNL1
VSX2	VSX2
VTN	VTN
VWDE	VWDE
WARS	WARS
WASF1	WASF1
WASF2	WASF2
WASL	WASL
WBSCR22	WBSCR22
WDR11	WDR11
WDR13	WDR13
WDR5	WDR5
WDR87	WDR87
WEE1	WEE1
WFDC2	WFDC2
WFS1	WFS1
WHSC1	WHSC1
WIF1	WIF1
WIPF1	WIPF1
WIPI1	WIPI1
WISP1	WISP1
WISP2	WISP2
WLS	WLS
WNK4	WNK4
WNT1	WNT1
WNT10A	WNT10A
WNT10B	WNT10B
WNT11	WNT11
WNT16	WNT16
WNT2	WNT2
WNT2B	WNT2B
WNT3	WNT3
WNT3A	WNT3A
WNT4	WNT4
WNT5A	WNT5A
WNT5B	WNT5B
WNT6	WNT6
WNT7A	WNT7A
WNT7B	WNT7B
WNT8A	WNT8A
WNT8B	WNT8B
WNT9A	WNT9A
WNT9B	WNT9B
WRN	WRN
WSCD1	WSCD1
WT1	WT1
WTIP	WTIP
WWC1	WWC1
WWOX	WWOX
WWP1	WWP1
WWTR1	WWTR1
XBP1	XBP1
XCL1	XCL1
XIAP	XIAP
XRCC1	XRCC1
XRCC5	XRCC5
YAF2	YAF2
YAP1	YAP1
YES1	YES1
YWHAB	YWHAB
YWHAE	YWHAE
YWHAH	YWHAH
YWHAQ	YWHAQ
YWHAZ	YWHAZ
YY1	YY1
YY1AP1	YY1AP1
YY2	YY2
ZAP70	ZAP70
ZBED4	ZBED4
ZBTB10	ZBTB10
ZBTB16	ZBTB16
ZC4H2	ZC4H2
ZDHHC18	ZDHHC18
ZEB1	ZEB1
ZEB2	ZEB2
ZFHX4	ZFHX4
ZFP36L1	ZFP36L1
ZFP42	ZFP42
ZFPM2	ZFPM2
ZFX	ZFX
ZHX2	ZHX2
ZIC1	ZIC1
ZIC2	ZIC2
ZIM2	ZIM2
ZKSCAN2	ZKSCAN2
ZMYND12	ZMYND12
ZMYND8	ZMYND8
ZNF132	ZNF132
ZNF189	ZNF189
ZNF208	ZNF208
ZNF214	ZNF214
ZNF25	ZNF25
ZNF257	ZNF257
ZNF280D	ZNF280D
ZNF343	ZNF343
ZNF37A	ZNF37A
ZNF404	ZNF404
ZNF432	ZNF432
ZNF492	ZNF492
ZNF513	ZNF513
ZNF534	ZNF534
ZNF540	ZNF540
ZNF560	ZNF560
ZNF57	ZNF57
ZNF578	ZNF578
ZNF585B	ZNF585B
ZNF597	ZNF597
ZNF600	ZNF600
ZNF629	ZNF629
ZNF672	ZNF672
ZNF676	ZNF676
ZNF69	ZNF69
ZNF703	ZNF703
ZNF716	ZNF716
ZNF726	ZNF726
ZNF736	ZNF736
ZNF740	ZNF740
ZNF773	ZNF773
ZNF787	ZNF787
ZNF792	ZNF792
ZNF799	ZNF799
ZNF800	ZNF800
ZNF879	ZNF879
ZNF98	ZNF98
ZNF99	ZNF99
ZSWIM4	ZSWIM4
ZXDA	ZXDA
CIDEA	CIDEA
CIDEB	CIDEB
CIITA	CIITA
CITED2	CITED2
CKB	CKB
CKS1B	CKS1B
CKS2	CKS2
CLC	CLC
CLEC3B	CLEC3B
CLEC9A	CLEC9A
CLIP4	CLIP4
CLOCK	CLOCK
CLTB	CLTB
CLU	CLU
CNDP1	CNDP1
CNN1	CNN1
CNOT3	CNOT3
CNPY4	CNPY4
CNR1	CNR1
CNTF	CNTF
CNTFR	CNTFR
CNTN1	CNTN1
CNTN2	CNTN2
CNTNAP2	CNTNAP2
CNTNAP4	CNTNAP4
COL10A1	COL10A1
COL11A1	COL11A1
COL12A1	COL12A1
COL14A1	COL14A1
COL15A1	COL15A1
COL16A1	COL16A1
COL18A1	COL18A1
COL1A1	COL1A1
COL1A2	COL1A2
COL2A1	COL2A1
COL3A1	COL3A1
COL4A2	COL4A2
COL5A1	COL5A1
COL6A1	COL6A1
COL6A2	COL6A2
COL7A1	COL7A1
COL8A1	COL8A1
COL9A1	COL9A1
COMP	COMP
COMT	COMT
COPS5	COPS5
COX10	COX10
COX18	COX18
COX4I1	COX4I1
COX5A	COX5A
COX5B	COX5B
COX6A1	COX6A1
COX6A2	COX6A2
COX6B1	COX6B1
COX6C	COX6C
COX7A2	COX7A2
COX7A2L	COX7A2L
COX7B	COX7B
COX8A	COX8A
CPA1	CPA1
CPE	CPE
CPS1	CPS1
CPT1A	CPT1A
CPT1B	CPT1B
CPT1C	CPT1C
CPT2	CPT2
CPXM1	CPXM1
CPXM2	CPXM2
CRABP1	CRABP1
CRABP2	CRABP2
CRADD	CRADD
CRAT	CRAT
CRB1	CRB1
CRB2	CRB2
CRB3	CRB3
CREB1	CREB1
CREB3	CREB3
CREB3L3	CREB3L3
CREBBP	CREBBP
CREG1	CREG1
CREM	CREM
CRHR1	CRHR1
CRHR2	CRHR2
CRK	CRK
CRLF2	CRLF2
CROT	CROT
CRP	CRP
CRTC2	CRTC2
CRX	CRX
CRY1	CRY1
CRY2	CRY2
CRYAB	CRYAB
CS	CS
CSDE1	CSDE1
CSF1	CSF1
CSF1R	CSF1R
CSF2RA	CSF2RA
CSF2RB	CSF2RB
CSF3	CSF3
CSF3R	CSF3R
CSK	CSK
CSMD1	CSMD1
CSMD2	CSMD2
CSNK1A1	CSNK1A1
CSNK1D	CSNK1D
CSNK1E	CSNK1E
CSNK2A1	CSNK2A1
CSNK2A2	CSNK2A2
CSPG5	CSPG5
CSRP2BP	CSRP2BP
CST1	CST1
CST3	CST3
CST7	CST7
CSTB	CSTB
CTBP1	CTBP1
CTBP2	CTBP2
CTCF	CTCF
CTF1	CTF1
CTGF	CTGF
CTH	CTH
CTNNA1	CTNNA1
CTNNB1	CTNNB1
CTNNBIP1	CTNNBIP1
CTNND1	CTNND1
CTNND2	CTNND2
CTSA	CTSA
CTSB	CTSB
CTSC	CTSC
CTSD	CTSD
CTSF	CTSF
CTSK	CTSK
CTSS	CTSS
CTTN	CTTN
CUBN	CUBN
CUL1	CUL1
CUL2	CUL2
CUL3	CUL3
CUL4A	CUL4A
CUL4B	CUL4B
CUL5	CUL5
CUL7	CUL7
CUL9	CUL9
CUX1	CUX1
CX3CL1	CX3CL1
CX3CR1	CX3CR1
CXADR	CXADR
CXCL1	CXCL1
CXCL10	CXCL10
CXCL11	CXCL11
CXCL12	CXCL12
CXCL13	CXCL13
CXCL16	CXCL16
CXCL2	CXCL2
CXCL3	CXCL3
CXCL5	CXCL5
CXCL6	CXCL6
CXCL9	CXCL9
CXCR1	CXCR1
CXCR2	CXCR2
CXCR3	CXCR3
CXCR4	CXCR4
CXXC1	CXXC1
CYB561D1	CYB561D1
CYBB	CYBB
CYC1	CYC1
CYCS	CYCS
CYGB	CYGB
CYP19A1	CYP19A1
CYP1A1	CYP1A1
CYP1B1	CYP1B1
CYP26A1	CYP26A1
CYP26B1	CYP26B1
CYP26C1	CYP26C1
CYP27A1	CYP27A1
CYP27B1	CYP27B1
CYP2U1	CYP2U1
CYP4A11	CYP4A11
CYP4V2	CYP4V2
CYP7A1	CYP7A1
CYR61	CYR61
CYYR1	CYYR1
DAAM1	DAAM1
DAB1	DAB1
DAB2	DAB2
DACH1	DACH1
DAPK1	DAPK1
DAZL	DAZL
DBH	DBH
DBI	DBI
DBNDD1	DBNDD1
DBP	DBP
DBT	DBT
DCAF4L2	DCAF4L2
DCHS1	DCHS1
DCHS2	DCHS2
DCLK1	DCLK1
DCX	DCX
DDB1	DDB1
DDC	DDC
DDIT3	DDIT3
DDIT4	DDIT4
DDIT4L	DDIT4L
DDR1	DDR1
DDR2	DDR2
DDX10	DDX10
DDX4	DDX4
DDX43	DDX43
DDX58	DDX58
DECR1	DECR1
DECR2	DECR2
DENR	DENR
DERL1	DERL1
DES	DES
DEXI	DEXI
DFFA	DFFA
DGAT1	DGAT1
DGAT2	DGAT2
DGKA	DGKA
DHCR24	DHCR24
DHH	DHH
DHRS3	DHRS3
DHRS9	DHRS9
DIABLO	DIABLO
DIAPH1	DIAPH1
DIAPH2	DIAPH2
DISP1	DISP1
DISP2	DISP2
DKC1	DKC1
DKK1	DKK1
DKK2	DKK2
DKK3	DKK3
DLAT	DLAT
DLD	DLD
DLEU1	DLEU1
DLG1	DLG1
DLGAP1	DLGAP1
DLK1	DLK1
DLL1	DLL1
DLL3	DLL3
DLL4	DLL4
DLST	DLST
DLX1	DLX1
DLX2	DLX2
DLX3	DLX3
DLX4	DLX4
DLX5	DLX5
DLX6	DLX6
DMBX1	DMBX1
DMGDH	DMGDH
DMPK	DMPK
DMRT1	DMRT1
DNAH8	DNAH8
DNAH9	DNAH9
DNAI1	DNAI1
DNAJA1	DNAJA1
DNAJA2	DNAJA2
DNAJA3	DNAJA3
DNAJA4	DNAJA4
DNAJB1	DNAJB1
DNAJB11	DNAJB11
DNAJB12	DNAJB12
DNAJB13	DNAJB13
DNAJB14	DNAJB14
DNAJB2	DNAJB2
DNAJB5	DNAJB5
DNAJB6	DNAJB6
DNAJB7	DNAJB7
DNAJB9	DNAJB9
DNAJC1	DNAJC1
DNAJC10	DNAJC10
DNAJC11	DNAJC11
DNAJC12	DNAJC12
DNAJC13	DNAJC13
DNAJC14	DNAJC14
DNAJC15	DNAJC15
DNAJC16	DNAJC16
DNAJC17	DNAJC17
DNAJC18	DNAJC18
DNAJC21	DNAJC21
DNAJC3	DNAJC3
DNAJC4	DNAJC4
DNAJC5	DNAJC5
DNAJC5B	DNAJC5B
DNAJC5G	DNAJC5G
DNAJC6	DNAJC6
DNAJC7	DNAJC7
DNAJC8	DNAJC8
DNAJC9	DNAJC9
DND1	DND1
DNM1L	DNM1L
DNMT1	DNMT1
DNMT3A	DNMT3A
DNMT3B	DNMT3B
DNMT3L	DNMT3L
DOK1	DOK1
DOK2	DOK2
DOK3	DOK3
DOT1L	DOT1L
DPCR1	DPCR1
DPEP3	DPEP3
DPF1	DPF1
DPP10	DPP10
DPP4	DPP4
DPPA2	DPPA2
DPPA3	DPPA3
DPPA4	DPPA4
DPPA5	DPPA5
DQX1	DQX1
DRD1	DRD1
DRD2	DRD2
DRGX	DRGX
DSCR8	DSCR8
DTX1	DTX1
DTX2	DTX2
DUOX1	DUOX1
DUOX2	DUOX2
DUSP1	DUSP1
DUSP10	DUSP10
DUSP12	DUSP12
DUSP14	DUSP14
DUSP16	DUSP16
DUSP22	DUSP22
DUSP23	DUSP23
DUSP26	DUSP26
DUSP3	DUSP3
DUSP4	DUSP4
DUSP5	DUSP5
DUSP6	DUSP6
DUSP7	DUSP7
DUSP8	DUSP8
DUSP9	DUSP9
DVL1	DVL1
DVL2	DVL2
DZIP3	DZIP3
Dec-01	Dec-01
E2F1	E2F1
E2F3	E2F3
E2F4	E2F4
E2F5	E2F5
E2F6	E2F6
EAF2	EAF2
EBAG9	EBAG9
EBF2	EBF2
EBI3	EBI3
ECH1	ECH1
ECHDC1	ECHDC1
ECHS1	ECHS1
ECM1	ECM1
ECSIT	ECSIT
EDA2R	EDA2R
EDEM1	EDEM1
EDEM2	EDEM2
EDEM3	EDEM3
EDN1	EDN1
EDNRB	EDNRB
EED	EED
EEF2K	EEF2K
EFNA1	EFNA1
EFNA5	EFNA5
EFNB1	EFNB1
EFNB2	EFNB2
EFS	EFS
EGF	EGF
EGFLAM	EGFLAM
EGFR	EGFR
EGLN1	EGLN1
EGLN2	EGLN2
EGLN3	EGLN3
EGR1	EGR1
EGR2	EGR2
EGR3	EGR3
EHBP1L1	EHBP1L1
EHHADH	EHHADH
EHMT2	EHMT2
EI24	EI24
EIF2A	EIF2A
EIF2AK2	EIF2AK2
EIF2AK3	EIF2AK3
EIF2B1	EIF2B1
EIF4A1	EIF4A1
EIF4B	EIF4B
EIF4E	EIF4E
EIF4EBP1	EIF4EBP1
EIF4EBP2	EIF4EBP2
EIF4G1	EIF4G1
ELAVL1	ELAVL1
ELK1	ELK1
ELK4	ELK4
ELL2	ELL2
ELN	ELN
EMB	EMB
EMP1	EMP1
EMX1	EMX1
EMX2	EMX2
EN1	EN1
EN2	EN2
ENAH	ENAH
ENDOD1	ENDOD1
ENG	ENG
ENO1	ENO1
ENO2	ENO2
ENO3	ENO3
ENOPH1	ENOPH1
ENPP1	ENPP1
ENPP4	ENPP4
EP300	EP300
EP400NL	EP400NL
EPB41L1	EPB41L1
EPB41L3	EPB41L3
EPC1	EPC1
EPC2	EPC2
EPHA1	EPHA1
EPHA2	EPHA2
EPHA3	EPHA3
EPHA4	EPHA4
EPHA5	EPHA5
EPHA7	EPHA7
EPHA8	EPHA8
EPHB1	EPHB1
EPHB2	EPHB2
EPHB3	EPHB3
EPHB4	EPHB4
EPHB6	EPHB6
EPHX2	EPHX2
EPHX3	EPHX3
EPO	EPO
EPOR	EPOR
EPX	EPX
ERAP1	ERAP1
ERBB2	ERBB2
ERBB3	ERBB3
ERBB4	ERBB4
ERC2	ERC2
ERCC1	ERCC1
EREG	EREG
ERN1	ERN1
ERN2	ERN2
ERO1L	ERO1L
ERO1LB	ERO1LB
ERP44	ERP44
ERRFI1	ERRFI1
ESAM	ESAM
ESCO1	ESCO1
ESCO2	ESCO2
ESPN	ESPN
ESR1	ESR1
ESR2	ESR2
ESRRA	ESRRA
ESRRB	ESRRB
ESX1	ESX1
ETFA	ETFA
ETFDH	ETFDH
ETS1	ETS1
ETS2	ETS2
ETV2	ETV2
ETV4	ETV4
ETV6	ETV6
EWSR1	EWSR1
EXOSC8	EXOSC8
EZH1	EZH1
EZH2	EZH2
EZR	EZR
F10	F10
F2	F2
F2R	F2R
F3	F3
F8	F8
FAAH	FAAH
FABP2	FABP2
FABP3	FABP3
FABP4	FABP4
FABP5	FABP5
FABP6	FABP6
FABP7	FABP7
FADD	FADD
FADS2	FADS2
FAH	FAH
FAM105A	FAM105A
FAM111A	FAM111A
FAM111B	FAM111B
FAM129B	FAM129B
FAM159B	FAM159B
FAM171A1	FAM171A1
FAM20A	FAM20A
FAM20C	FAM20C
FAM46A	FAM46A
FAM65A	FAM65A
FAM83H	FAM83H
FAP	FAP
FAS	FAS
FASLG	FASLG
FASN	FASN
FAT1	FAT1
FAT2	FAT2
FAT3	FAT3
FAT4	FAT4
FBLN5	FBLN5
FBN1	FBN1
FBN2	FBN2
FBP1	FBP1
FBP2	FBP2
FBXL20	FBXL20
FBXL21	FBXL21
FBXL3	FBXL3
FBXO3	FBXO3
FBXO31	FBXO31
FBXO32	FBXO32
FBXO4	FBXO4
FBXO6	FBXO6
FBXW10	FBXW10
FBXW11	FBXW11
FBXW9	FBXW9
FCER2	FCER2
FCGR1A	FCGR1A
FCGRT	FCGRT
FER	FER
FES	FES
FGF1	FGF1
FGF11	FGF11
FGF13	FGF13
FGF14	FGF14
FGF16	FGF16
FGF17	FGF17
FGF19	FGF19
FGF2	FGF2
FGF20	FGF20
FGF23	FGF23
FGF3	FGF3
FGF4	FGF4
FGF5	FGF5
FGF6	FGF6
FGF7	FGF7
FGF8	FGF8
FGF9	FGF9
FGFR1	FGFR1
FGFR2	FGFR2
FGFR3	FGFR3
FGFR4	FGFR4
FGFRL1	FGFRL1
FGR	FGR
FH	FH
FHIT	FHIT
FIGF	FIGF
FIGN	FIGN
FILIP1	FILIP1
FIS1	FIS1
FJX1	FJX1
FKBP1A	FKBP1A
FKBP5	FKBP5
FKBP8	FKBP8
FLG	FLG
FLII	FLII
FLRT2	FLRT2
FLT1	FLT1
FLT3	FLT3
FLT4	FLT4
FMR1	FMR1
FN1	FN1
FOLR1	FOLR1
FOS	FOS
FOSB	FOSB
FOSL1	FOSL1
FOXA1	FOXA1
FOXA2	FOXA2
FOXC1	FOXC1
FOXD3	FOXD3
FOXE1	FOXE1
FOXF1	FOXF1
FOXG1	FOXG1
FOXM1	FOXM1
FOXO1	FOXO1
FOXO3	FOXO3
FOXP1	FOXP1
FOXP2	FOXP2
FOXP3	FOXP3
FOXR1	FOXR1
FOXRED2	FOXRED2
FPGS	FPGS
FRAT1	FRAT1
FRK	FRK
FRMD3	FRMD3
FRMD6	FRMD6
FRS2	FRS2
FRS3	FRS3
FRZB	FRZB
FST	FST
FSTL3	FSTL3
FTCD	FTCD
FTH1	FTH1
FUCA1	FUCA1
FUCA2	FUCA2
FURIN	FURIN
FUT11	FUT11
FUT8	FUT8
FXYD5	FXYD5
FYN	FYN
FZD1	FZD1
FZD2	FZD2
FZD3	FZD3
FZD4	FZD4
FZD5	FZD5
FZD6	FZD6
FZD7	FZD7
FZD8	FZD8
FZD9	FZD9
FZR1	FZR1
G0S2	G0S2
G6PC	G6PC
G6PC3	G6PC3
G6PD	G6PD
GAB1	GAB1
GAD2	GAD2
GADD45A	GADD45A
GADD45B	GADD45B
GALC	GALC
GALM	GALM
GALNT1	GALNT1
GALNT10	GALNT10
GALNT11	GALNT11
GALNT12	GALNT12
GALNT13	GALNT13
GALNT14	GALNT14
